,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,MOF Name,Ref Code,Application,Recommendation,Justification,Source,Original Application Name
10063,218,,218,[Zn2(TPOM)(NH2–BDC)2]$4H2O<|>NH2–Zn-MOF,AWAJIT,Sensors,Recommended,"The synthesized MOF material exhibits high selectivity and sensitivity towards... nitroaromatic compounds... In addition, it also shows highly selective and sensitive detection of electron-deficient nitroaromatic compounds through fluorescence quenching.",10.1039/C6TA05965A,Detection of nitroaromatic explosives
10069,224,,224,[Zn2IJCH3CN)2IJoFBPDC)2]·2C6H6·2CH3CN<|>compound 4,VOGSES,Carbon Capture,Recommended,"The analysis of the crystal packing of coordination polymers 4 and 5 allows us to suggest that they should demonstrate permanent porosity after complete removal of the guest molecules... According to the official IUPAC classification, the isotherms of CO2 adsorption for both 4 and 5 belong to the I type. The CO2 uptake of 4 (89 cm3 g−1) is slightly less than the estimated volume (110 cm3 g−1)... The BET surface areas calculated on the basis of the isotherms of CO2 adsorption are 334.8 m2 g−1... Despite moderate surface areas and pore volumes, both compounds 4 and 5 demonstrate high selectivity of adsorption of CO2 over N2.",10.1039/C9CE00073A,CO2 adsorption
10072,227,,227,{[Ce(tci)(H2O)2]·2H2O}n<|>compound 1<|>1,VIRCEF,Water Purification,Recommended,"The dehydrated compounds can selectively adsorb H2O molecules and reject other adsorbates such as methanol, ethanol, acetone, tetrahydrofuran, nitrogen, carbon dioxide.",10.1002/anie.200703086,Water adsorption
10084,239,,239,Mg-CUK-1 p-xylene solvate<|>p-xylene-loaded Mg-CUK-1,NUDMUW,Small Molecule Capture,Recommended,"Interestingly, in this case an ordered crystalline phase was obtained only for p-xylene-treated Mg-CUK-1 (Figure 2 d); single crystals treated with o- and m-xylene remained highly crystalline, but electron density corresponding to less than one electron per site was smeared throughout the centers of the channel voids. TGA and elemental microanalysis of the materials indicated at least some adsorption for all isomers (see the Supporting Information). Liquid (vapor) sorption isotherms collected using each pure isomer in the range p/p0 = 0–0.7 at 508C provide more valuable insight (Figure 3). It is apparent that dehydrated Mg-CUK-1 can adsorb each isomer, but the relative capacity is of the order p > o > m.",10.1002/anie.201411862,Separation of xylene isomers
10086,241,,241,Mg-CUK-1 toluene solvate<|>toluene-loaded Mg-CUK-1,NUDMOQ,Small Molecule Capture,Investigated,"The adsorption of xylene isomers was then studied. A handful of PCPs have been shown to selectively separate xylene isomers. Interestingly, in this case an ordered crystalline phase was obtained only for p-xylene-treated Mg-CUK-1.",10.1002/anie.201411862,Separation of xylene isomers
10087,242,,242,{[Sm1.5(DDB)(FA)0.5(H2O)2.5]6H2O}n<|>Complex 1,IZIHAC,Photoluminescence,Investigated,"Besides, luminescence investigations indicated that 1 and 4 show ligand-based fluorescence, while 2 and 3 show typical red or green emission with 4f–4f transitions for Ln ions.",10.1039/C6NJ00294C,Luminescence
10088,243,,243,{[Eu1.5(DDB)(FA)0.5(H2O)2.5]6H2O}n<|>Complex 2,IZIHEG,Photoluminescence,Investigated,"Besides, luminescence investigations indicated that 1 and 4 show ligand-based fluorescence, while 2 and 3 show typical red or green emission with 4f–4f transitions for Ln ions.",10.1039/C6NJ00294C,Luminescence
10089,244,,244,{[Tb1.5(DDB)(FA)0.5(H2O)2.5]6H2O}n<|>Complex 3,IZIHIK,Photoluminescence,Investigated,"Besides, luminescence investigations indicated that 1 and 4 show ligand-based fluorescence, while 2 and 3 show typical red or green emission with 4f–4f transitions for Ln ions.",10.1039/C6NJ00294C,Luminescence
10090,245,,245,{[Dy1.5(DDB)(FA)0.5(H2O)2.5]6H2O}n<|>Complex 4,IZIHOQ,Photoluminescence,Investigated,"Besides, solid state luminescence investigations indicated that 1 and 4 show ligand-based emission, while 2 and 3 display characteristic red and green light emission, respectively. White light emission can be achieved by doping the Eu(III) ions into the Dy(III) complexes.",10.1039/C6NJ00294C,Luminescence
10108,263,,263,FJI-8,DAPHOU,Light Emitting Diodes,Investigated,"Additionally, FJI-8 and FJI-9 both exhibit tunable photoluminescence and may have potential applications in white-light emitting materials.",10.1039/C6CE02281B,White-light emitting materials
10109,264,,264,FJI-9,UBIBUF,Light Emitting Diodes,Investigated,"Additionally, FJI-8 and FJI-9 both exhibit tunable photoluminescence and may have potential applications in white-light emitting materials.",10.1039/C6CE02281B,White-light emitting materials
10112,267,,267,{Fe(pz)[Pt(CN)4]}<|>1<|>1·CS2,RURPAW,Sensors,Investigated,"The SCO–PCP 1 presents bidirectional chemo-switching of spin state and memory effect at room temperature, which will open a route for evolving the PCPs to environmentally responsive materials; for example, nano-sized chemical memories and chemical sensors.",10.1002/anie.200806039,Chemical sensors
10113,268,,268,{Fe(pz)[Pt(CN)4]}<|>1<|>1·pz,RURPEA,Sensors,Investigated,"The SCO–PCP 1 presents bidirectional chemo-switching of spin state and memory effect at room temperature, which will open a route for evolving the PCPs to environmentally responsive materials; for example, nano-sized chemical memories and chemical sensors.",10.1002/anie.200806039,Chemical sensors
10115,270,,270,"[Ln2CuIJ2,3-pydc)2IJsuc)2IJH2O)6]·2H2O [Ln = Sm (1), Eu (2), Gd (3), Tb (4), Dy (5), and Er (6)]<|>CP 6",INEQUP01,Magnetic Material,Investigated,The magnetic studies reveal that CPs 4 (Cu–Tb) and 6 (Cu–Er) show ferromagnetic interactions between the paramagnetic centers and CP 5 (Cu–Dy) exhibits a field-induced slow magnetic relaxation behavior.,10.1039/C6CE02353C,Magnetism
10116,271,,271,"[Ln2CuIJ2,3-pydc)2IJsuc)2IJH2O)6]·2H2O [Ln = Sm (1), Eu (2), Gd (3), Tb (4), Dy (5), and Er (6)]<|>CP 4",INEQID01,Magnetic Material,Recommended,The magnetic studies reveal that CPs 4 (Cu–Tb) and 6 (Cu–Er) show ferromagnetic interactions between the paramagnetic centers and CP 5 (Cu–Dy) exhibits a field-induced slow magnetic relaxation behavior.,10.1039/C6CE02353C,Magnetism
10117,272,,272,"[Ln2CuIJ2,3-pydc)2IJsuc)2IJH2O)6]·2H2O [Ln = Sm (1), Eu (2), Gd (3), Tb (4), Dy (5), and Er (6)]<|>CP 3",INEQEZ01,Magnetic Material,Investigated,The magnetic studies reveal that CPs 4 (Cu–Tb) and 6 (Cu–Er) show ferromagnetic interactions between the paramagnetic centers and CP 5 (Cu–Dy) exhibits a field-induced slow magnetic relaxation behavior.,10.1039/C6CE02353C,Magnetism
10133,288,,288,[Me2NH2][In(thb)(pbdc)]$2.5DMF$3.5H2O<|>MROF-1,ABEXEN,Energy Storage,Recommended,"Our investigation thus not only provides a new route and further insights for the design and synthesis of metalloring clusters with a large internal cavity, but also develops MROF materials as a new functional material platform for fuel cells.",10.1039/C6TA07939C,Fuel cells
10138,293,,293,{[Cd0.5(bdc)0.5(L(NH2)2)(H2O)]·DMF·H2O}n<|>2,XAYMES,Carbon Capture,Investigated,Gas adsorption measurements of the desolvated framework 3 showed a moderate uptake of CO2 under ambient conditions with good selectivity over N2 and CH4.,10.1039/C7DT01657C,CO2 capture
10146,301,,301,"[Cd2K4(2,3-PDC)4]<|>compound 1",HABGID,Light Emitting Diodes,Investigated,"""Tunable blue-green to white luminescence of 1 was achieved by variation of the excitation wavelength and the inclusion amount of Eu3+ ions in the host framework of 1."" ""Blue-green to white-light emitting materials can be obtained by encapsulating different amount of Eu3+ in the host framework.""",10.1039/C5RA20142J,White-light emission
10158,313,,313,dibromo(4-hydroxy-L-proline)cadmium(II)<|>DB4HPC,AFADOD,Optical Devices,Recommended,"All of the results show that the metal–organic compound DB4HPC is promising for use in non-linear optical (NLO) applications. Additionally, The calculated hyperpolarizability value shows that the compound is a good candidate for non-linear optical applications.",10.1039/C8NJ02548G,Non-linear optical (NLO) applications
10167,322,,322,"{[Zn6(MIDPPA)3(1,2,4-btc)3(NO2)3(H2O)3](H2O)7}n<|>1L",BEJYUN,Electrical Conductivity,Recommended,"Interestingly, 1L and 1R, crystallized in non-centrosymmetric space groups, have green fluorescence, ferroelectric and second-order NLO properties.",10.1039/C7DT03205F,Ferroelectricity
10169,324,,324,"{[Zn6(MIDPPA)3(1,2,4-btc)3(NO2)3(H2O)3](H2O)7}n<|>1L",BEJYUN,Catalysis,Investigated,"This applies equally to the preparation of chiral metal–organic frameworks (MOFs) with high enantiomeric excess (ee), which may have promising applications in enantioselective adsorption and separation,1,2 second-order nonlinear optics (NLO),3,4 ferroelectricity,5,6 asymmetric catalysis,7 and so on.8,9",10.1039/C7DT03205F,Asymmetric catalysis
10171,326,,326,"{[Zn6(MIDPPA)3(1,2,4-btc)3(NO2)3(H2O)3](H2O)7}n<|>1R",BEJYOH,Electrical Conductivity,Recommended,"Interestingly, 1L and 1R, crystallized in non-centrosymmetric space groups, have green fluorescence, ferroelectric and second-order NLO properties.",10.1039/C7DT03205F,Ferroelectricity
10176,331,,331,CuI-MFU-4l<|>compound 5,JOJKOK,Hydrogen Storage,Investigated,"The hydrogen binding at the CuI centers matches well a suggested optimal binding energy of approximately 25 kJmol1 for hydrogen storage, thus enabling the accumulation and release of hydrogen at close to ambient temperature.",10.1002/anie.201310004,Hydrogen storage
10177,332,,332,CuI-MFU-4l<|>compound 5,JOJKOK,Methane Capture,Investigated,The fact that methane does not bind to CuI centers suggests 5 as a potential candidate for CH4/N2 separation with highly selective N2 uptake.,10.1002/anie.201310004,CH4/N2 separation
10191,346,,346,{[Cd(pzdc)(bpee)]·1.5H2O}n<|>2<|>2a,EBEMII,Small Molecule Capture,Recommended,"2 a selectively adsorbs H2O and MeOH, which is due to the small aperture of the channels. The adsorption selectivity exhibited by these new zeolite-like materials arises from a simple change in the organic pillar module, and may well find useful applications in molecular separation techniques.",10.1002/anie.200453923,Molecular separation techniques
10203,358,,358,[Zn (CV) (L2)]·2H2O<|>compound 1,JIYWUM,Gas Sensing,Recommended,Compound 1 not only possesses photochromism under UV and sunlight stimuli but also can be considered as excellent sensors for amines.,10.1039/C8DT05032E,Detection of amines
10211,366,,366,[Me2NH2][Tb3L3(HCOO)]·DMF·15H2O<|>TbL,MUNLUE,Sensors,Recommended,"The luminescence properties reveal that TbL has unusual sensitive response to Ba2+ ions, which is, to the best of our knowledge, the first example of Ln-MOFs sensing Ba2+ ions.",10.1039/C5TA00720H,Sensing of Ba2+ ions
10219,374,,374,X-dia-1-Ni<|>NiL2,TEVVIC,Methane Storage,Investigated,"""The potential methane working capacity of NiL2 approaches that of compressed natural gas but at much lower pressures."" ""X-dia-1-Ni is only the second high-surface-area FMOM that exhibits CH4-induced reversible switching with a type F-IV isotherm at pressures relevant for NG storage.""",10.1002/anie.201800820,Methane storage
10224,379,,379,[Cd3(bpdc)3(dmf)]·5 dmf·18H2O<|>JUC-48,XIGFOJ,Optical Devices,Investigated,It is believed that these results will further facilitate the exploration of such MOFs as new types of functional materials for applications in fields such as optical materials...,10.1002/anie.200700537,Optical materials
10228,383,,383,ZSTU-1<|>Ti6(m3-O)6(m2-OH)6(TCA)2(H2O)(DMF)2,TOYHEX,Photocatalysis,Recommended,"All the three MOFs, especially ZSTU-3, have exhibited superior photocatalytic performances and stability for visible light photocatalytic H2 evolution, due to the extended light absorption, larger surface areas and more efficient charge separation.",10.1039/C9TA01942A,Photocatalytic H2 evolution
10229,384,,384,ZSTU-2<|>Ti6(m3-O)6(m2-OH)6(BTB)2(DMF)2,TOYHIB,Photocatalysis,Not Recommended,"The photocatalytic H2 production rates for ZSTU-1, ZSTU-2, and ZSTU-3 are 1060 mmol g1 h1, 350 mmol g1 h1 and 1350 mmol g1 h1, respectively. ZSTU-2 exhibits the lowest photocatalytic activity due to its poor absorption in the visible light region and thus exhibits low photoactivity under visible light illumination.",10.1039/C9TA01942A,Photocatalytic H2 evolution
10230,385,,385,ZSTU-3<|>Ti6(m3-O)6(m2-OH)6(BTCA)2(DMF)2,TOYHOH,Photocatalysis,Recommended,"""The photocatalytic rate of ZSTU-3 is almost 4 times that of ZSTU-2, making it one of the best MOF photocatalysts."" ""The elongated triphenylamine-based ligand in ZSTU-3 can extend the light absorption and obviously improves charge separation, resulting in enhanced photocatalytic activity."" ""The photocatalytic H2 production rates for ZSTU-1, ZSTU-2, and ZSTU-3 are 1060 mmol g1 h-1, 350 mmol g1 h-1 and 1350 mmol g1 h-1, respectively.""",10.1039/C9TA01942A,Photocatalytic H2 evolution
10231,386,,386,{[ZnIJbbib)IJoba)]·solvents}n<|>complex 2,KINYOY,Sensors,Recommended,"Moreover, complex 2 is a good bifunctional chemosensor for the detection of both Fe3+ and MnO4− with the detection limits of 3.31 ppm and 8.81 ppm, respectively, indicating that 2 could be used as an efficient fluorescent sensor with high sensitivity and selectivity for Fe3+ and MnO4−.",10.1039/C8CE01261J,Detection of Fe3+ and MnO4− ions
10239,394,,394,{[Cd(pta)]H2O}n<|>compound 3,QITRIX,Sensors,Recommended,"It is noteworthy that 3 shows high selectivity for the detection of acetone in different solvents via a fluorescence quenching mechanism. By virtue of its excellent detection efficiency, applicability in water and reusability, compound 3 can be a promising fluorescent material for practical acetone sensing.",10.1039/C9NJ00021F,Detection of acetone
10244,399,,399,[(H2NMe2)2Cd3(C2O4)4]·MeOH·2H2O<|>compound 1,PIGXAF,Optical Devices,Investigated,This class of materials will provide a new impetus to examining the potential applications of non-neutral porous solids as novel optical materials.,10.1002/anie.200701056,Novel optical materials
10250,405,,405,[Gd(cit)(H2O)]∞<|>Complex 1,YOBWOD01,Magnetic Refrigeration,Recommended,This work not only enriches the existing field of GdIII coordination polymers as excellent magnetorefrigerants but also corroborates that light tricarboxylate ligands without hydroxyl groups are ideal candidates for the construction of GdIII coordination polymers with a large magnetocaloric effect.,10.1039/C6DT01349J,Magnetorefrigeration
10251,406,,406,NTHU-8,GUCJAQ,Hydrogen Storage,Recommended,"The most interesting aspect of the structure is that it is constructed from one-dimensional metal phosphate 4MR columns with a high zinc to phosphorus ratio, and one-dimensional supramolecular chains formed of btec and Hbpy units... Moreover, the hydrogen adsorption property of NTHU-8 may be conferred by the availability of intraframework carboxylate moieties... It is worth noting that a preliminary study of hydrogen gas sorption under 1 bar and 77 K revealed about 0.56% H2 storage capacity for NTHU-8, which is the highest value ever observed in OMPO materials.",10.1002/anie.200901744,Hydrogen gas storage
10257,412,,412,[Cu2(C22H10O8)(H2O)2]<|>compound 2,CESFOW,Hydrogen Storage,Investigated,"The storage of H2 in a safe and compact form represents a significant current challenge, and there is wide-ranging interest in materials that can store and release H2 with fast kinetics and high reversibility over multiple cycles. Porous coordination frameworks have become competitors to other porous materials, such as zeolites and carbon materials (for example, activated carbon or nanotubes), with recent studies confirming that these frameworks can store considerable quantities of H2 at 78 K.",10.1002/anie.200601991,Hydrogen storage
